date,advances,declines,totalVolume,totalTrades,buy_volume,sell_volume,breadth,breadth_ma5,breadth_momentum,total_vol,buy_ratio,sentiment_shift,volume_ma20,volume_ratio,breadth_vol,sentiment_vol,breadth_lag1,sentiment_lag1,breadth_lag3,sentiment_lag3,breadth_lag5,sentiment_lag5,target
2025-08-11,762,711,6801.203857,1829,0.0,0.0,0.03459972862957938,-0.2587108017040807,0.2068219508518016,0.0,0.0,0.0,11817.599584,0.575466137816147,0.23176882062396198,0.0,-0.17222222222222222,0.0,-0.5931524103973435,0.0,-0.06395348837209303,0.0,1
2025-08-11,5613,4755,30711.369968,10998,0.0,0.0,0.08274664866428778,-0.13978746924695767,0.048146920034708406,0.0,0.0,0.0,13133.16518055,2.3382810818825064,0.2367296798289387,0.0,0.03459972862957938,0.0,-0.05090909090909091,0.0,-0.5118700136213271,0.0,0
2025-08-11,4777,3939,22415.17311,8979,0.0,0.0,0.09613399105196742,-0.0019301889570954884,0.013387342387679635,0.0,0.0,0.0,14197.61283605,1.5786875358054917,0.24766235552922466,0.0,0.08274664866428778,0.0,-0.17222222222222222,0.0,-0.5931524103973435,0.0,0
2025-08-12,924,489,7645.379898,1811,0.0,0.0,0.30763790664780766,0.06977921055428422,0.21150391559584025,0.0,0.0,0.0,14218.55800515,0.537666493939616,0.27491194415310183,0.0,0.09613399105196742,0.0,0.03459972862957938,0.0,-0.05090909090909091,0.0,1
2025-08-12,6081,4722,40547.35705,11567,0.0,0.0,0.12578674564975934,0.12938100412868053,-0.18185116099804832,0.0,0.0,0.0,16179.97080765,2.5058667698003707,0.283313650010092,0.0,0.30763790664780766,0.0,0.08274664866428778,0.0,-0.17222222222222222,0.0,0
2025-08-12,5029,4161,29702.708152,9546,0.0,0.0,0.09444021325209444,0.14134910105318355,-0.0313465323976649,0.0,0.0,0.0,17568.78721525,1.6905559406103121,0.2883529346726443,0.0,0.12578674564975934,0.0,0.09613399105196742,0.0,0.03459972862957938,0.0,0
2025-08-12,128,72,3199.269,210,0.0,0.0,0.27860696517412936,0.18052116435515186,0.1841667519220349,0.0,0.0,0.0,16113.0418235,0.19853920171252928,0.25695308732313915,0.0,0.09444021325209444,0.0,0.30763790664780766,0.0,0.08274664866428778,0.0,1
2025-08-13,155,55,2305.913,215,0.0,0.0,0.47393364928909953,0.2560810960025783,0.19532668411497017,0.0,0.0,0.0,15873.37787355,0.1452600548108489,0.18549444425497338,0.0,0.27860696517412936,0.0,0.12578674564975934,0.0,0.09613399105196742,0.0,1
2025-08-13,1015,417,8141.439596,1833,0.0,0.0,0.4173063503140265,0.27801478473582203,-0.056627298975073015,0.0,0.0,0.0,16155.188553349999,0.5039208083710973,0.19445268064803017,0.0,0.47393364928909953,0.0,0.09444021325209444,0.0,0.30763790664780766,0.0,1
2025-08-14,704,835,5243.469924,1909,0.0,0.0,-0.08506493506493507,0.23584444859288317,-0.5023712853789616,0.0,0.0,0.0,16058.332293,0.3265060980328269,0.17851540053755172,0.0,0.4173063503140265,0.0,0.27860696517412936,0.0,0.12578674564975934,0.0,2
2025-08-14,73,128,1614.899,212,0.0,0.0,-0.2722772277227723,0.16250096039790984,-0.18721229265783723,0.0,0.0,0.0,14109.605495849999,0.1144457621237409,0.2266689730903479,0.0,-0.08506493506493507,0.0,0.47393364928909953,0.0,0.09444021325209444,0.0,2
2025-08-14,2377,6774,28558.918803,9421,0.0,0.0,-0.48044143356643354,0.010691280649797252,-0.20816420584366124,0.0,0.0,0.0,13992.3707454,2.040889169779775,0.3029105158066673,0.0,-0.2722772277227723,0.0,0.4173063503140265,0.0,0.27860696517412936,0.0,1
2025-08-15,4039,6105,24018.103538,10738,0.0,0.0,-0.20364711680630854,-0.12482487256928436,0.276794316760125,0.0,0.0,0.0,13716.504462599998,1.7509091105808643,0.3173428634005417,0.0,-0.48044143356643354,0.0,-0.08506493506493507,0.0,0.47393364928909953,0.0,1
2025-08-15,3264,5361,19543.946447,8921,0.0,0.0,-0.243102249014607,-0.25690659243501107,-0.039455132208298466,0.0,0.0,0.0,14317.29421295,1.3649633228882616,0.3184637881821654,0.0,-0.20364711680630854,0.0,-0.2722772277227723,0.0,0.4173063503140265,0.0,1
2025-08-15,668,666,3540.184091,1623,0.0,0.0,0.00149812734082397,-0.23959397995385925,0.24460037635543097,0.0,0.0,0.0,14356.423167500001,0.2465751722783858,0.3158817184478922,0.0,-0.243102249014607,0.0,-0.48044143356643354,0.0,-0.08506493506493507,0.0,1
2025-08-15,107,78,933.973,194,0.0,0.0,0.15591397849462366,-0.15395573871038007,0.1544158511537997,0.0,0.0,0.0,14322.263117500002,0.06520671947015218,0.318551260603133,0.0,0.00149812734082397,0.0,-0.20364711680630854,0.0,-0.2722772277227723,0.0,1
2025-08-18,741,704,5327.950991,1872,0.0,0.0,0.025587828492392807,-0.0527498862986148,-0.13032615000223086,0.0,0.0,0.0,13297.55729415,0.40064127808388295,0.30405907373247204,0.0,0.15591397849462366,0.0,-0.243102249014607,0.0,-0.48044143356643354,0.0,1
2025-08-18,90,88,1616.705487,186,0.0,0.0,0.0111731843575419,-0.009785826065844713,-0.014414644134850907,0.0,0.0,0.0,12368.045602099999,0.13070575847222343,0.25093187085494334,0.0,0.025587828492392807,0.0,0.00149812734082397,0.0,-0.20364711680630854,0.0,1
2025-08-18,3477,7460,35176.0455,11722,0.0,0.0,-0.36414335344669957,-0.03399404695226323,-0.37531653780424146,0.0,0.0,0.0,13926.950170599997,2.5255723253700197,0.19969398021907722,0.0,0.0111731843575419,0.0,0.15591397849462366,0.0,-0.243102249014607,0.0,1
2025-08-18,2646,6668,28231.389021,9664,0.0,0.0,-0.4317767042404724,-0.12064901326852248,-0.0676333507937728,0.0,0.0,0.0,15263.769971650001,1.8494473924881822,0.21736162145759105,0.0,-0.36414335344669957,0.0,0.025587828492392807,0.0,0.00149812734082397,0.0,1
2025-08-19,6639,4114,35586.986701,11540,0.0,0.0,0.23479635484470895,-0.10487253799850542,0.6665730590851813,0.0,0.0,0.0,16703.05911385,2.1304394613578337,0.2501480568717356,0.0,-0.4317767042404724,0.0,0.0111731843575419,0.0,0.15591397849462366,0.0,0
2025-08-19,5785,3261,27590.438326,9372,0.0,0.0,0.2789875096717144,-0.054192601762641124,0.04419115482700542,0.0,0.0,0.0,16547.01253175,1.6672961948187643,0.24699639344065077,0.0,0.23479635484470895,0.0,-0.36414335344669957,0.0,0.025587828492392807,0.0,0
2025-08-19,765,743,6138.306761,1949,0.0,0.0,0.0145791915175613,-0.05351140033063724,-0.26440831815415305,0.0,0.0,0.0,15733.169214300002,0.3901258895462494,0.24184034269742988,0.0,0.2789875096717144,0.0,-0.4317767042404724,0.0,0.0111731843575419,0.0,1
2025-08-19,89,110,1858.241614,219,0.0,0.0,-0.105,-0.0016827296412973258,-0.1195791915175613,0.0,0.0,0.0,15443.8123001,0.12031493668511391,0.23217362395212973,0.0,0.0145791915175613,0.0,0.23479635484470895,0.0,-0.36414335344669957,0.0,2
